AGE [scale: age in months]	GENDER [nominal]	ATTSC1 [ordinal: school is boring]	ATTSC2 [ordinal: school is fun]	ATTSC3 [ordinal: school is the same day after day]	ATTSC4 [ordinal: teachers don't try hard enough]	ATTSC5 [ordinal: sorry when school's out]	ATTSC6 [ordinal: teachers always try to help us]	ATTSC7 [ordinal: like going to school]	ATTSC8 [ordinal: teachers are boring]	ATTSC9 [ordinal: would rather not be at school]	ATTSC10 [ordinal: teachers aren't interested in us kids]	SCMARK [scale: marks for your school]	SELF1 [ordinal: glad to be me]	APPSC1 [ordinal: like my body]	PHYSSC1 [ordinal: am good at sports]	ENGSC1 [ordinal: I get good marks in English]	PARSC1 [ordinal: don't like to be with parents]	PEERSC1 [ordinal: make friends easily]	MATHSC1 [ordinal: among the best in my class for maths]	SCHSC1 [ordinal: good marks in all subjects]	SELF2 [ordinal: would like to be someone else]	APPSC2 [ordinal: I'm good looking]	SCHSC2 [ordinal: often don't understand things at school]	PARSC2 [ordinal: find it easy to talk to my parents]	SELF3 [ordinal: happy with the way I live]	MATHSC2 [ordinal: teachers think I'm good at maths]	SELF4 [ordinal: I often feel worthless]	PHYSSC2 [ordinal: like to do sports]	SCHSC3 [ordinal: among th best in my class at all subjects]	PEERSC2 [ordinal: don't have many friends]	SELF5 [ordinal: have lot to be proud off]	ENGSC2 [ordinal: often don't understand things in English classes]	PARSC3 [ordinal: my parents don't like me]	APPSC3 [ordinal: don't like the way I look]	MATHSC3 [ordinal: good marks in maths]	SELF6 [ordinal: sometimes I think I can't do anything right]	PEERSC3 [ordinal: other kids like me]	APPSC4 [ordinal: have an attractive face]	SELF7 [ordinal: do most things right]	SCHSC4 [ordinal: teachers think I'm clever]	ENGSC3 [ordinal: among the best in my class at English]	PHYSSC3 [ordinal: not good t learning new games]	SELF8 [ordinal: I'm not as good as other kids]	PARSC4 [ordinal: have fun with my parents]	MATHSC4 [ordinal: often don't understand maths]	PHYSSC4 [ordinal: bad at sports]	ENGSC4 [ordinal: teachers think I'm good at English]	SELF9 [ordinal: I'd change a lot about myself if I could]	PEERSC4 [ordinal: other kids want me to be their friend]	ENGGRADE [scale: school grades English]	MATHGRAD [scale: school grades maths]	GPA [scale: grade point average]	DUMETH [scale: ethnicity]	FAMISC_1 [scale: SMEAN(FAMISCO)]	PAREDU_1 [scale: SMEAN(PAREDU)]	FILTER_$ [nominal: gender = 2 (FILTER)]	SCHTYPE [nominal: type of school]	CATHOLIC [nominal]	COE [nominal]	SCHOOLEN [ordinal: quality of school environment]
119	girl	disagree	agree	disagree	disagree	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree strongly	agree	agree	disagree strongly	agree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	agree	disagree strongly	agree	disagree strongly	disagree strongly	disagree	agree	disagree strongly	agree	agree	agree	agree	agree	disagree	disagree	agree strongly	disagree strongly	disagree	agree	disagree	agree	93.1	85	87.6	1	14	9	Selected	State	0	1	high
122	girl	disagree strongly	agree	disagree	disagree strongly	disagree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	8	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree	agree	agree	disagree strongly	agree	disagree strongly	disagree	agree	agree	disagree strongly	agree	agree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree	disagree	agree	agree	agree	disagree strongly	disagree	agree	disagree	disagree	agree	disagree	agree	86.5	85.2	85.2	1	13	6	Selected	COE	0	0	high
123	girl	disagree strongly	agree strongly	disagree	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	agree	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree strongly	agree	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree	disagree strongly	disagree strongly	agree	agree	agree	83	85.5	83	0	15	8	Selected	Catholic	1	0	high
131	boy	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	1	agree strongly	een beetje waar	agree	agree	disagree	agree	agree	agree	disagree strongly	agree	disagree strongly	agree	agree strongly	agree	disagree	disagree	agree	disagree	agree	disagree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree	agree	agree	agree	agree	disagree	disagree	agree	disagree strongly	disagree	agree	disagree	agree	80	86	86	1	4	2	Not Selected	State	0	1	high
129	boy	disagree	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree	agree strongly	agree	7	agree	helemaal niet waar	agree	agree strongly	disagree strongly	disagree	agree	agree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree	agree	disagree	agree strongly	agree strongly	agree	disagree	disagree strongly	disagree strongly	agree strongly	agree	agree strongly	agree	agree strongly	agree	agree	agree strongly	agree	agree	disagree	disagree	disagree	agree strongly	agree strongly	disagree	88	86	88	1	0	6	Not Selected	State	0	1	high
125	boy	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree strongly	disagree	disagree strongly	disagree strongly	8	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	disagree	agree	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree	agree strongly	disagree	agree	agree	agree strongly	disagree strongly	disagree strongly	agree	disagree	agree strongly	disagree	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree	disagree	agree	81.4	86	82.1	0	2	6	Not Selected	State	0	1	high
121	boy	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree	agree strongly	agree strongly	disagree	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree	84	86	85.7	1	16	8	Not Selected	COE	0	0	high
127	girl	disagree	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	disagree strongly	8	disagree	niet echt waar	agree	agree strongly	disagree strongly	disagree	agree strongly	disagree strongly	agree	agree	disagree strongly	agree strongly	agree strongly	agree	agree	agree	agree strongly	disagree	disagree	disagree strongly	disagree strongly	agree	agree	disagree	agree strongly	disagree	agree strongly	agree	agree strongly	disagree	disagree		disagree strongly	agree	agree strongly	agree strongly	agree strongly	92.2	86.1	90	1	8	5	Selected	Catholic	1	0	high
128	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	agree	agree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	disagree	agree	disagree strongly	agree strongly	agree	agree	agree	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree	85.5	86.25	86	1	14	8	Not Selected	Catholic	1	0	high
129	girl	disagree strongly	agree strongly	disagree	agree	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree	disagree	agree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	disagree	agree strongly	disagree	disagree strongly	disagree	disagree strongly	disagree strongly	disagree	agree	disagree	disagree	disagree	agree	agree	agree	disagree	agree	agree strongly	agree	disagree	agree	disagree	agree	90	86.25	89.13	1	0	2	Selected	COE	0	0	high
124	girl	agree strongly	agree	agree	disagree	agree strongly	agree strongly	agree	disagree	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	disagree	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree	agree	87.3	86.3	87	1	10	6	Selected	State	0	1	high
127	boy	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree strongly	disagree	disagree	disagree strongly	9	agree	niet echt waar	agree strongly	agree	disagree strongly	agree	disagree	agree	agree	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree strongly	disagree	agree	disagree	agree strongly	agree strongly	agree	agree	agree	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree	agree	87.33	86.33	86	1	10	6	Not Selected	State	0	1	high
123	boy	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree	disagree strongly	2	agree strongly	helemaal niet waar	disagree	disagree	disagree	disagree	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	agree	agree	agree	agree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree	agree	disagree	disagree	disagree strongly	agree strongly	disagree strongly	agree	agree	disagree strongly	disagree	83.3	86.5	84.8	1	10	6	Not Selected	State	0	1	high
123	boy	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree	agree strongly	agree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree	agree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	88.3	86.7	88.1	1	10	7	Not Selected	State	0	1	high
123	girl	agree	agree	disagree	agree	agree	agree	disagree	agree	agree	disagree	7	agree	helemaal niet waar	disagree	agree	disagree strongly	agree	agree	disagree	disagree strongly	agree	disagree strongly	agree	agree strongly	disagree	disagree	agree	disagree	disagree	disagree	disagree strongly	disagree strongly	agree strongly	agree	disagree	agree	disagree	agree	disagree	agree	agree	disagree	agree	disagree	disagree	agree	disagree	agree	88.87	86.87	87.87	1	2	4	Selected	State	0	1	high
131	girl	disagree	disagree	agree	disagree	disagree	agree	agree	agree	disagree	disagree	7	agree strongly	helemaal waar	agree strongly	agree	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree	agree	disagree	disagree strongly	disagree strongly	agree	disagree	agree	agree	agree	agree	agree	disagree strongly	disagree	agree	disagree strongly	disagree strongly	agree	agree	disagree	87.12	86.88	87	1	10	8	Selected	Catholic	1	0	high
119	boy	agree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree	agree strongly	disagree strongly	4	agree strongly	helemaal niet waar	agree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	83.25	87	85	1	15	6	Not Selected	State	0	1	high
122	girl	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	disagree	helemaal niet waar	agree	agree strongly	disagree strongly	disagree	agree strongly	agree strongly	disagree	agree strongly	disagree strongly	agree strongly	disagree	agree	agree strongly	agree strongly	agree strongly	agree	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree	86	87	87.3	0	2	4	Selected	State	0	1	high
124	boy	disagree	agree	disagree strongly	disagree strongly	agree	agree strongly	disagree	agree	disagree	disagree strongly	8	agree strongly	helemaal waar	agree	agree	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree	agree	agree	agree	agree	disagree	agree	agree	agree strongly	disagree strongly	disagree	agree	disagree strongly	agree	85.93	87.06	87.6	1	14	8	Not Selected	COE	0	0	high
121	girl	disagree	agree strongly	agree	disagree strongly	disagree	agree strongly	agree	disagree strongly	disagree	disagree strongly	8	agree strongly	helemaal niet waar	agree strongly	agree	disagree	agree strongly	agree strongly	agree strongly	agree	agree	disagree strongly	disagree	agree strongly	agree	agree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree	agree	agree strongly	agree	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	disagree	87.3	87.1	90	1	16	5	Selected	Catholic	1	0	high
120	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree strongly	disagree strongly	10	agree strongly	helemaal waar	agree	agree	disagree strongly	agree	disagree	agree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	agree	agree strongly	agree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree	agree	disagree	disagree	agree	agree	agree	disagree	disagree	agree strongly	disagree strongly	disagree	agree	disagree	agree	85.2	87.1	88.1	1	15	8	Selected	State	0	1	high
121	boy	disagree strongly	agree	disagree strongly	disagree strongly	disagree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree	disagree	86.67	87.14	86.84	1	10	6	Not Selected	State	0	1	high
122	boy	disagree strongly	agree	agree	disagree	disagree	agree strongly	agree	disagree strongly	disagree	disagree strongly	9	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree strongly	agree strongly	agree	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	disagree strongly	disagree	89.6	87.4	86.5	1	18	8	Not Selected	COE	0	0	high
124	boy	disagree	agree strongly	disagree	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree	disagree	agree strongly	agree	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree	disagree	disagree	agree	disagree	disagree strongly	agree strongly	agree strongly	agree	agree	agree	agree	agree	disagree	agree	agree	agree strongly	disagree strongly	disagree	disagree	disagree strongly	disagree	84	87.45	89.6	1	8	5	Not Selected	State	0	1	high
124	girl	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree strongly	disagree	agree strongly	disagree	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	81.7	87.5	87.5	1	6	4	Selected	State	0	1	high
